# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2000, mean track length: 0
1 0.000098412 0.023899643 0.328068972 128 128 128 1.0
2 -0.071247347 -0.036373663 0.270668276 128 128 128 1.0
3 0.004811488 0.107217220 0.310623479 128 128 128 1.0
4 -0.049637992 0.039187364 0.378550961 128 128 128 1.0
5 0.008433140 -0.074437444 0.347659854 128 128 128 1.0
6 0.055624256 -0.107537164 0.313390739 128 128 128 1.0
7 -0.152097819 -0.103163019 0.202661197 128 128 128 1.0
8 -0.018807290 -0.101395719 0.371701149 128 128 128 1.0
9 0.012540087 -0.014954476 0.148659223 128 128 128 1.0
10 -0.043095432 -0.003880076 0.359064719 128 128 128 1.0
11 -0.122410861 -0.038220262 0.271718474 128 128 128 1.0
12 -0.064706979 0.084871890 0.285397226 128 128 128 1.0
13 -0.002601736 0.070751189 0.303311965 128 128 128 1.0
14 -0.008936156 0.008837131 0.355102542 128 128 128 1.0
15 -0.098004466 0.006091218 0.458705874 128 128 128 1.0
16 -0.123771574 0.068750615 0.359548322 128 128 128 1.0
17 -0.051317632 0.160033324 0.410980777 128 128 128 1.0
18 -0.095943112 0.005961298 0.396135167 128 128 128 1.0
19 -0.015102570 0.054632821 0.344678614 128 128 128 1.0
20 0.053379805 0.115081807 0.295947020 128 128 128 1.0
21 0.016251089 -0.037064606 0.360181473 128 128 128 1.0
22 -0.094975562 -0.046344128 0.334304322 128 128 128 1.0
23 0.071901110 0.091617761 0.244117777 128 128 128 1.0
24 -0.063571389 0.051752274 0.190606417 128 128 128 1.0
25 -0.037053589 -0.007782954 0.450561198 128 128 128 1.0
26 0.055152312 -0.026177074 0.320513928 128 128 128 1.0
27 -0.020015632 0.121882352 0.315758005 128 128 128 1.0
28 -0.024294431 0.028207125 0.340338364 128 128 128 1.0
29 -0.015782738 -0.089125371 0.349078283 128 128 128 1.0
30 -0.035486498 0.093290222 0.402247080 128 128 128 1.0
31 -0.001931489 0.053470482 0.322810436 128 128 128 1.0
32 0.084170109 -0.000431965 0.396670588 128 128 128 1.0
33 -0.103271460 0.027734404 0.214943671 128 128 128 1.0
34 -0.162826316 -0.024358150 0.278005791 128 128 128 1.0
35 0.013124224 0.179580530 0.283462145 128 128 128 1.0
36 -0.049915487 0.016432316 0.389441063 128 128 128 1.0
37 -0.014112485 -0.016474426 0.406197036 128 128 128 1.0
38 0.041592611 -0.082694067 0.343665495 128 128 128 1.0
39 0.002822948 -0.084358770 0.370787128 128 128 128 1.0
40 -0.068636518 0.077765337 0.365419673 128 128 128 1.0
41 0.007144519 -0.047282268 0.340511214 128 128 128 1.0
42 -0.159819703 -0.090512598 0.379027184 128 128 128 1.0
43 -0.170285363 0.067728682 0.210312282 128 128 128 1.0
